split,mae,rmse,mean_pred,mean_actual,cal_gap,max_bin_gap,n
Train,1.4950182317175853,1.8461894908562189,2.58085619845369,2.574644051009038,0.00621214744465215,0.6492210596459751,40385
Val (2024),1.5746561918564004,1.9394049458983165,2.5073877030687526,2.431124039060877,0.07626366400787576,0.27410495041124605,4813
Test (2025),1.5800283612563448,1.9385150959772877,2.510066155740884,2.436967808930426,0.07309834681045801,0.19725380492100175,4815
