model,brier,log_loss,auc,ap,calibration_gap,mean_pred,actual_rate
is_hit_lr,0.17071625542689187,0.5246910913963478,0.5306806565877842,0.23773649193015578,0.0019784654744025576,0.21706161747465472,0.21904008294905727
is_hr_lr,0.029790981022593765,0.13609103118697638,0.5900449895070493,0.04232506933563454,0.00016712475969554372,0.031000162496059427,0.030833037736363884
is_strikeout_lr,0.17038555829954868,0.5225984385431369,0.5801358852873294,0.27386011091550927,0.010623423742375182,0.23243029432547432,0.22180687058309914
is_walk_lr,0.07669723526660671,0.28701282798128597,0.5535533372532058,0.09823289614812039,0.001462786643911404,0.08538867820984772,0.08392589156593631
is_xbh_lr,0.07054787621778069,0.26934842695135636,0.543891806509679,0.0883859180506276,0.0014697833493970969,0.07799574585860608,0.07652596250920898
