target,model,n,brier,log_loss,auc,ap,mean_pred,realized,topdec_realized,topdec_lift,topdec_n
is_hr,prod,183245,0.029439308195387568,0.12962533190127015,0.7006101109539529,0.06101234352849479,0.033250649973458384,0.030833037736363884,0.07154331612162937,2.3203460110987564,17430
is_hr,exp,183245,0.029431832706760808,0.12955545088677686,0.7028422972922133,0.062025279031315106,0.03375642682877175,0.030833037736363884,0.07210031347962383,2.338410963464366,17864
is_hr,beast,183245,0.02921932223608115,0.12590157992517884,0.7409624164755895,0.07186795901758829,0.03212663467186871,0.030833037736363884,0.08272802883282507,2.68309692804797,18035
is_hr,recency,183245,0.029445552659683853,0.12956254512686863,0.7020081183023819,0.060056070235678286,0.03063879554758974,0.030833037736363884,0.07551856078405048,2.4492741010395274,14897
is_hr,recent365,183245,0.029417775956013262,0.12946324423830213,0.7039838889668175,0.061584981126116045,0.0327859293005408,0.030833037736363884,0.07277692033717204,2.360355180032759,16846
is_hit,prod,183245,0.16238964792757823,0.49705302757289427,0.654274866143663,0.309323259874054,0.22796908158377313,0.21904008294905727,0.3436621271434085,1.568946297483529,18137
is_hit,exp,183245,0.16230681782382975,0.496802021907346,0.654886838009265,0.31055254034509855,0.2272084069442002,0.21904008294905727,0.3465043770236239,1.5819222324902578,16678
is_hit,beast,183245,0.1615116160021223,0.49445040191743717,0.6628991486843818,0.3201420622547995,0.22650926245468356,0.21904008294905727,0.36171422075707627,1.6513608645829498,17594
is_hit,recency,183245,0.16268333639469873,0.4978273184542333,0.6539996383263238,0.30807020825074305,0.22526064419814104,0.21904008294905727,0.34464152459675107,1.5734176136013664,17421
is_hit,recent365,183245,0.16217657245493972,0.49661794517329844,0.6574968659375269,0.31046561709188525,0.2247204699382804,0.21904008294905727,0.33980367145471685,1.5513310024345903,18031
is_xbh,prod,183245,0.06898771665668482,0.25660331213102633,0.6682981745302965,0.12539046961972497,0.0840593765231316,0.07652596250920898,0.14462787253880327,1.8899190261265781,18233
is_xbh,exp,183245,0.06898877407559974,0.2565782175150574,0.6688229621174742,0.12587056585341733,0.08379645953266614,0.07652596250920898,0.14563215809566585,1.903042488072473,17812
is_xbh,beast,183245,0.0687191137455776,0.25503800486298245,0.6804172532135571,0.1335399202399211,0.08344746733562061,0.07652596250920898,0.15728250778220743,2.0552829735827283,18311
is_xbh,recency,183245,0.06894856225894064,0.25626789557825314,0.6683981783184969,0.12386482413054173,0.07899634433664268,0.07652596250920898,0.14218923499503244,1.8580522261045938,17111
is_xbh,recent365,183245,0.06900678147185438,0.2567618359234175,0.6666393741408455,0.12208627109523339,0.08004886572421517,0.07652596250920898,0.14191079892638914,1.8544137737478554,17511
is_strikeout,prod,183245,0.14464584913262732,0.42418147336218887,0.7752793733480999,0.43513003016061164,0.21576180472483059,0.22180687058309914,0.4952905535665106,2.232981116700584,18155
is_strikeout,exp,183245,0.14458970765415538,0.4240075524301142,0.7755060133951532,0.4354075134287214,0.2160761122833142,0.22180687058309914,0.49325983736287726,2.223825781708954,18323
is_strikeout,beast,183245,0.1433596881079027,0.4210226180133243,0.7816775485824046,0.4462442972458497,0.2198926295305981,0.22180687058309914,0.5109394383669786,2.303532965519916,17734
is_strikeout,recency,183245,0.144466894401892,0.4237313940735539,0.7763014804061505,0.43388246551277077,0.22060095788055326,0.22180687058309914,0.4943150458107959,2.228583111565981,18118
is_strikeout,recent365,183245,0.1440269957019556,0.4227783936200006,0.7789131711530257,0.44068411389088175,0.22283119451833028,0.22180687058309914,0.5021852361851165,2.264065287359864,16703
is_walk,prod,183245,0.053344221243574866,0.16646561602175886,0.9278461075045517,0.46123899567348736,0.07980561664065783,0.08392589156593631,0.4671943231441048,5.566748406563592,18320
is_walk,exp,183245,0.05327149738612745,0.16627833550568769,0.9281260232006415,0.4633529656652739,0.07993876901557906,0.08392589156593631,0.46870904325032764,5.584796711776207,18312
is_walk,beast,183245,0.05332089672466289,0.1663826107009288,0.9279563433132808,0.45959106991369547,0.07944144442833005,0.08392589156593631,0.46639733580826553,5.557252084022734,18317
is_walk,recency,183245,0.05335590584362781,0.16663666650726217,0.9279174342787,0.4578331368831441,0.08072642938719082,0.08392589156593631,0.4680266124154616,5.576665361341522,18187
is_walk,recent365,183245,0.053820847271410406,0.16794767947692218,0.9257733213425683,0.45056868377112314,0.07854378980236405,0.08392589156593631,0.4629114131324709,5.515716359936253,18321
