name,pos,mlbam_id,season,split,G,PA,AB,H,2B,3B,HR,RBI,BB,SO,SB,BA,OBP,SLG,OPS,BABIP,TB,SF,SH,HBP,IBB
Will Smith,C,669257,2020,vs LHP,21,40,34,10,5,0,0,4,6,6,0,0.294,0.4,0.441,0.841,0.357,15,0,0,0,0
Will Smith,C,669257,2020,vs RHP,34,97,80,23,4,0,8,21,14,16,0,0.288,0.402,0.638,1.04,0.263,51,1,0,2,1
Will Smith,C,669257,2021,vs LHP,71,138,121,28,4,0,6,11,15,26,0,0.231,0.319,0.413,0.732,0.244,50,1,0,1,4
Will Smith,C,669257,2021,vs RHP,121,363,293,79,15,2,19,65,43,75,0,0.27,0.383,0.529,0.912,0.287,155,10,0,17,0
Will Smith,C,669257,2022,vs LHP,70,138,120,36,6,1,6,16,16,19,0,0.3,0.391,0.517,0.908,0.316,62,0,0,2,3
Will Smith,C,669257,2022,vs RHP,132,440,388,96,20,2,18,71,40,77,0,0.247,0.327,0.448,0.775,0.263,174,4,0,8,1
Will Smith,C,669257,2023,vs LHP,68,147,121,29,7,0,6,19,21,22,0,0.24,0.354,0.446,0.8,0.24,54,3,0,2,2
Will Smith,C,669257,2023,vs RHP,121,407,343,92,14,2,13,57,42,67,0,0.268,0.361,0.434,0.795,0.29,149,9,0,13,0
Will Smith,C,669257,2024,vs LHP,76,155,132,34,10,0,8,21,20,23,0,0.258,0.361,0.515,0.876,0.255,68,1,0,2,6
Will Smith,C,669257,2024,vs RHP,121,389,344,84,14,2,12,54,31,82,0,0.244,0.314,0.401,0.715,0.28,138,7,0,7,0
Will Smith,C,669257,2025,vs LHP,55,112,93,24,6,0,4,10,18,26,0,0.258,0.384,0.452,0.836,0.317,42,0,0,1,0
Will Smith,C,669257,2025,vs RHP,105,324,269,83,14,1,13,51,46,63,0,0.309,0.41,0.513,0.923,0.354,138,5,0,4,1
