mlbam_id,name,pos,team,IP,GS,G,W,L,ERA,WHIP,K9,BB9,K,BB,H_allowed,HR_allowed,role
700249,Cade Povich,P,BAL,16.3,2,3,1,1,4.41,1.29,6.06,2.76,11,5,16,3,SP
695243,Mason Miller,P,SD,16.3,0,16,1,0,1.10,0.61,17.63,1.65,32,3,7,0,RP
663765,Jake Woodford,P,MIL,16.3,0,11,1,0,4.41,1.47,7.71,1.65,14,3,21,1,RP
672335,Cionel Pérez,P,WSH,16.0,0,16,2,3,6.19,1.69,5.06,6.19,9,11,16,2,RP
601713,Nick Pivetta,P,SD,16.0,4,4,1,2,4.50,1.13,13.50,3.38,24,6,12,0,SP
593974,Wandy Peralta,P,SD,16.0,0,15,0,0,3.38,1.44,7.88,3.38,14,6,17,3,RP
641755,Tyler Kinley,P,ATL,16.0,0,17,3,2,2.81,1.19,10.13,4.50,18,8,11,2,RP
663542,Bryan Hudson,P,CWS,16.0,2,17,0,0,1.13,1.38,11.25,4.50,20,8,14,0,SP
656271,Brock Burke,P,CIN,16.0,0,17,1,1,3.38,1.50,11.25,4.50,20,8,16,0,RP
669084,DL Hall,P,MIL,16.0,1,14,0,0,1.69,1.25,10.69,6.19,19,11,9,1,SP
668873,Caleb Kilian,P,SF,16.0,0,15,1,1,1.13,1.00,10.13,4.50,18,8,8,2,RP
664141,JT Brubaker,P,SF,16.0,0,11,0,0,2.25,1.44,6.75,5.06,12,9,14,1,RP
544150,Albert Suárez,P,BAL,15.7,0,6,1,0,3.45,1.28,5.17,5.17,9,9,11,3,RP
667463,John King,P,MIA,15.7,0,17,1,0,0.57,0.51,8.04,2.87,14,5,3,1,RP
641302,Tyler Alexander,P,TEX,15.7,0,15,1,0,1.72,1.34,6.89,1.72,12,3,18,0,RP
671212,Joe Boyle,P,TB,15.7,3,3,0,1,5.17,1.09,9.19,3.45,16,6,11,1,SP
595345,Steven Okert,P,HOU,15.7,1,18,0,0,4.60,1.40,6.32,4.02,11,7,15,2,SP
605130,Scott Barlow,P,ATH,15.7,0,15,0,0,4.02,0.96,7.47,4.60,13,8,7,2,RP
679358,Eric Orze,P,MIN,15.7,0,14,0,1,4.60,1.40,8.62,4.60,15,8,14,0,RP
